,As,Cd,Co,Cu,Mn,Pb,Se,Zn,Fe
1,0.296989,-0.5702196667,-0.1311326667,-0.373665,2.686803333,0.04047666667,-0.03126666667,0.440811,-2.53026
2,0.3556606667,-0.5641563333,-0.3011303333,-0.3006843333,5.567316667,0.1527766667,-0.08449733333,0.651635,8.295693333
3,0.2512946667,-0.5671873333,-0.2462393333,-0.3956496667,2.827023333,0.05328566667,-0.04694033333,0.4556866667,4.079333333
4,0.1779293333,-0.571958,-0.1337123333,-0.3950833333,2.3273,-0.002605666667,-0.104884,0.369288,-7.30733
5,0.237493,-0.5719596667,-0.1337393333,-0.3814413333,2.537976667,0.01541833333,-0.06298633333,0.3372346667,-5.764196667
6,0.2859306667,-0.564625,-0.2449986667,-0.3169363333,3.859823333,0.070995,-0.06488833333,0.5946463333,8.113205
7,0.2515496667,-0.5693996667,-0.127841,-0.393769,2.02691,0.023529,-0.08407333333,0.385258,-5.82219
8,0.1993186667,-0.569831,-0.088964,-0.3342106667,3.01253,0.013134,-0.09629933333,0.4251616667,-4.67855
9,0.1966643333,-0.570024,-0.1428666667,-0.3564803333,1.550246667,0.00058,-0.057073,0.402059,-5.323463333
10,0.267788,-0.300515,-0.1073123333,-0.1315803333,2.929758667,0.1382623333,0.02775533333,0.556349,4.25189
11,0.181364,-0.5711233333,-0.1789043333,-0.3684493333,1.58236,-0.02039766667,-0.101728,0.3844626667,-5.2211
12,0.224415,-0.5674793333,-0.196535,-0.1698186667,2.77155,0.03145833333,-0.07345876667,0.4477356667,-8.096003333
13,0.173402,-0.5625115,-0.312648,-0.2981635,4.77126,0.0409805,-0.1148645,0.5281195,7.69804
14,0.07394066667,-0.5724836667,-0.173047,-0.3454273333,2.378086667,-0.037941,-0.1135323333,0.383426,-7.560966667
15,0.06226633333,-0.5726756667,-0.1751666667,-0.318574,2.616856667,-0.018222,-0.10978,0.4433323333,-8.070366667
16,0.1590323333,-0.5708233333,-0.2045773333,-0.333608,1.663836667,-0.057386,-0.1115806667,0.559326,-9.3042
17,0.177918,-0.5737886667,-0.1477506667,-0.3823356667,1.938493333,-0.076737,-0.1162956667,0.43484,-9.650383333
18,0.133,-0.572,-0.176,-0.345,2.073,-0.051,-0.113,0.479,-9.008